price,class,weight,condition,taste grade,size,age,type,origin
0.62,3,118,3,7,119,22,Gwen,Israel
0.89,3,257,3,7,218,23,Hass,Israel
0.58,2,77,3,6,78,29,Hass,Peru
0.94,4,196,5,7,106,18,Pinkerton,Peru
0.86,3,168,3,8,169,11,Pinkerton,Israel
1.47,4,542,3,11,390,6,Pinkerton,Other
0.65,3,171.5,3,7,172.5,8,Pinkerton,Other
0.68,3,106,3,7,107,19,Pinkerton,Spain
0.62,3,178,3,7,106,20,Pinkerton,Other
0.7,3,189,3,7,190,6,Hass,Other
0.99,3,356,3,8,187,18,Pinkerton,Spain
0.83,2,116,4,7,87,26,Hass,Israel
0.69,3,143,4,7,144,31,Hass,Chile
0.77,3,137,4,7,138,14,Gwen,South Africa
0.88,5,181,3,7,182,40,Gwen,South Africa
0.98,4,295,3,9,199,14,Gwen,Peru
0.76,3,189,3,7,190,9,Pinkerton,Israel
0.84,4,160,4,7,161,35,Pinkerton,Other
0.59,2,120,4,7,121,33,Gwen,Other
0.62,3,125,4,7,126,17,Pinkerton,Israel
0.75,4,162,4,7,87,24,Reed,Chile
2.13,3,305,3,9,234,17,Pinkerton,Peru
0.67,5,227,3,8,228,8,Gwen,Chile
0.64,2,107,3,7,108,12,Gwen,South Africa
0.71,3,245,4,8,246,12,Gwen,Chile
0.62,3,171,5,6,172,26,Hass,Chile
1.23,3,245,3,8,176,35,Reed,Israel
1,3,140,5,8,141,37,Gwen,Chile
0.8,3,152,3,7,80,24,Pinkerton,South Africa
1.04,4,257,3,8,258,5,Hass,Chile
0.92,3,232,3,8,233,6,Pinkerton,Peru
0.67,2,119,3,7,120,5,Hass,Peru
1.01,4,233,4,7,152,30,Gwen,Other
0.88,3,109,4,8,110,30,Gwen,Peru
0.7,4,206,3,7,129,13,Gwen,South Africa
1.02,3,230,3,8,152,30,Gwen,Other
0.9,4,166,1,5,94,29,Reed,South Africa
0.97,4,236,4,8,237,39,Reed,South Africa
0.63,4,122,2,7,90,17,Hass,Peru
0.94,4,262,3,8,263,8,Hass,Other
0.96,4,257,3,9,258,7,Gwen,Spain
1.09,4,422,3,8,261,12,Pinkerton,Spain
1.16,5,359.5,3,9,360.5,2,Pinkerton,Other
1.01,3,157,3,7,158,33,Hass,Chile
0.69,3,128,4,6,93,20,Hass,Other
0.84,3,316,3,8,317,6,Pinkerton,Spain
0.61,3,99,3,6,100,18,Pinkerton,Peru
